#21
P 37 
S 1 20
L 1 2 1
L 1 4 1
L 4 5 1
L 4 8 1
L 1 8 1
L 1 7 1
L 1 6 1
L 6 7 1
L 2 6 1
L 2 3 1
L 3 36 1
L 3 6 1
L 6 37 1 
L 37 36 1
L 37 26 1
L 7 26 1
L 8 26 1
L 8 9 1
L 5 9 1
L 9 6 1
L 6 11 1
L 6 10 1
L 10 11 1
L 9 11 1
L 11 13 1
L 10 12 1
L 12 14 1
L 14 17 1 
L 17 18 1
L 26 11 1
L 24 13 1
L 24 25 2
L 23 24 1
L 12 13 1
L 13 15 1
L 14 15 1
L 14 16 1
L 16 18 1
L 16 19 1
L 19 18 1
L 20 18 1
L 19 20 1
L 21 20 1
L 21 19 1
L 21 22 1
L 22 19 1
L 22 13 1
L 23 22 1
L 28 23 1
L 28 21 1
L 28 27 1
L 20 27 1 
L 26 25 1
L 25 34 1
L 34 37 1
L 34 33 1
L 34 35 1
L 35 36 1
L 36 32 1
L 35 32 1
L 32 33 1
L 33 29 1
L 28 29 1
L 29 31 1
L 31 32 1
L 30 32 1
L 29 30 1
L 30 31 1
L 27 30 2

